id,平均视频更新时间,UP主所在分区,视频平均时长,视频总数,视频平均点赞数,视频平均硬币数,视频平均转发数,视频平均弹幕数,视频平均收藏数,视频平均播放量,视频平均评论数,视频推荐指数,点赞/播放量超过4%的视频数,粉丝数
479893558,6.941747572815534,音乐,157.74757281553397,103,35929.78640776699,3401.9126213592235,1323.0388349514562,418.7669902912621,2639.5242718446602,363310.58252427186,745.3883495145631,108611.66796116506,96,1805553
31624111,16.341463414634145,知识,172.0,41,1024.4146341463415,203.17073170731706,106.7560975609756,217.1951219512195,392.5853658536585,51540.31707317073,58.09756097560975,13668.05975609756,0,2185886
7552204,6.616766467065868,生活,945.4191616766467,167,256985.1017964072,113782.89221556886,9953.161676646707,23356.928143712576,35439.40119760479,2978401.239520958,4111.784431137725,920498.7098802399,159,4551722
475600552,21.962962962962962,知识,617.6296296296297,27,960.3703703703703,251.5185185185185,1023.8518518518518,171.77777777777777,393.037037037037,44725.03703703704,273.037037037037,12576.162962962959,13,71072
456631851,6.787234042553192,游戏,203.98936170212767,94,2316.1063829787236,252.25531914893617,351.5744680851064,179.24468085106383,405.3510638297872,49232.45744680851,622.8829787234042,13988.860106382977,70,32618
1605721,19.454545454545453,动画,283.8333333333333,66,85817.0303030303,21575.772727272728,5635.378787878788,3325.9242424242425,27086.348484848484,2681235.3181818184,790.8484848484849,726419.7916666667,24,3267031
106685726,16.390243902439025,知识,424.5853658536585,41,180614.41463414635,126935.87804878049,13812.0,15118.975609756097,71674.90243902439,2069577.3414634147,4077.6585365853657,677882.7768292684,34,2449863
116683,26.08219178082192,舞蹈,330.3835616438356,73,162049.53424657535,80402.4109589041,12509.575342465754,6515.931506849315,60211.34246575343,3600958.0410958906,4402.479452054795,1027156.8006849313,44,4273371
249608727,15.24705882352941,音乐,292.2705882352941,85,61198.01176470588,49762.74117647059,6253.247058823529,4452.7411764705885,27150.176470588234,909186.0588235294,1706.8,286041.63352941175,81,1146875
7437481,1.9130434782608696,时尚,16.217391304347824,69,34818.57971014493,592.2608695652174,669.4202898550725,70.08695652173913,3846.8985507246375,163021.26086956522,221.94202898550725,56592.18478260872,68,336784
